0.00	X
0.61	B
0.68	F
0.95	B
1.16	A
1.28	D
2.16	E
2.23	B
2.65	C
2.79	E
2.93	G
3.07	H
3.49	E
3.63	F
3.70	B
4.26	A
4.36	C
4.60	B
4.67	C
4.74	E
4.88	F
4.95	B
5.02	X
5.60	F
5.88	A
5.96	C
6.05	H
6.12	C
6.26	B
6.61	F
6.75	C
7.03	B
7.17	F
7.31	C
7.45	B
7.80	G
7.87	B
7.94	E
8.15	B
8.22	F
8.36	A
8.44	F
8.55	C
9.67	B
9.81	C
9.88	B
9.95	X
10.55	B
11.14	C
11.21	B
11.35	E
11.42	F
11.77	B
12.12	F
12.40	B
12.75	F
12.89	E
13.17	B
13.66	D
13.76	C
13.80	A
13.88	B
13.93	E
14.05	F
14.40	B
14.54	F
14.68	E
14.89	B
15.24	D
15.52	E
15.66	B
17.06	X
17.83	B
17.92	C
18.11	E
18.16	F
18.48	A
18.58	E
18.76	D
18.83	A
18.91	B
19.25	C
19.32	B
20.44	C
21.28	B
21.42	C
21.70	B
22.75	X
23.22	B
23.36	E
23.50	C
23.57	B
23.92	E
24.13	C
24.20	B
24.27	A
24.38	B
24.70	H
24.77	C
24.91	B
25.96	C
26.17	B
26.38	C
26.66	A
26.78	C
26.95	B
27.09	X
27.76	X
