0.00	X
0.53	B
0.69	F
0.76	A
1.11	F
1.27	B
1.34	E
1.97	C
2.11	E
2.25	F
2.95	B
3.02	F
3.09	H
3.37	B
3.44	E
3.58	F
3.72	C
3.93	E
4.21	C
4.40	E
4.45	F
4.63	G
4.70	E
4.77	F
4.98	X
5.60	B
5.94	G
6.01	H
6.15	C
6.36	B
6.78	A
7.21	F
7.38	E
7.45	A
7.67	B
7.96	E
8.03	F
8.52	B
9.99	X
10.54	B
10.63	E
10.77	F
11.26	B
11.33	E
11.47	F
11.82	B
12.10	G
12.17	F
12.24	B
12.52	E
13.29	F
13.36	C
13.50	B
13.78	G
13.85	F
14.06	A
14.46	F
14.62	E
14.70	H
14.84	B
14.98	A
15.23	C
15.28	B
15.40	E
15.54	F
15.68	C
15.96	E
16.94	F
17.08	E
17.15	F
17.29	X
17.88	B
17.95	F
18.58	E
18.86	F
19.28	B
19.35	F
19.42	B
19.98	C
21.45	B
22.64	X
23.22	B
23.31	C
23.38	B
23.45	E
23.59	G
23.66	F
23.80	C
23.87	E
24.01	C
24.22	B
24.36	C
24.64	B
25.13	C
26.46	B
26.74	X
27.39	X
