0.00	X
0.52	B
0.60	A
0.67	C
1.14	B
1.21	C
1.42	E
1.56	B
2.33	F
2.47	A
2.55	E
2.68	F
2.96	E
3.24	B
4.08	H
4.29	G
4.36	B
4.57	E
4.71	H
4.92	B
5.06	X
5.61	B
5.75	A
5.84	B
6.18	A
6.26	D
6.58	C
7.07	A
7.15	B
7.29	C
7.36	H
7.43	C
7.50	B
7.85	E
8.27	C
8.41	E
8.48	F
8.69	B
9.67	C
9.74	B
9.88	X
10.59	B
12.15	C
12.22	B
12.36	H
12.50	B
12.71	F
12.78	B
12.85	A
12.93	E
13.09	F
13.23	G
13.30	B
13.65	A
13.83	C
13.95	B
14.02	A
14.20	B
14.40	E
14.54	B
14.68	C
14.89	B
17.48	X
17.87	B
18.06	C
18.13	E
18.27	F
18.41	C
18.55	B
18.62	F
18.69	D
18.97	C
19.04	B
19.32	F
19.39	B
20.51	C
21.07	B
21.77	X
22.60	B
22.81	A
23.00	C
23.05	D
23.22	C
23.26	B
23.52	F
23.59	D
24.01	C
24.08	B
24.43	C
24.57	B
25.06	C
25.62	B
25.76	G
25.83	B
25.90	X
27.39	X
